date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:50:37	63/63	---M--	200	added ('OK')	text/plain	date:Sun,%2030%20Apr%202023%2017:51:38%20GMT	https://www.epfundao.edu.pt/robots.txt		(from )
17:50:37	24536/24536	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:51:39%20GMT	https://www.epfundao.edu.pt/	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/index.html	(from )
17:50:38	334/334	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Apr%202023%2017:51:39%20GMT	http://www.epfundao.edu.pt/page/homepage	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/page/homepage.0.delayed	(from https://www.epfundao.edu.pt/)
17:50:38	24536/24536	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:51:40%20GMT	https://www.epfundao.edu.pt/page/homepage	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/page/homepage.html	(from https://www.epfundao.edu.pt/)
17:50:38	118043/118043	---M-Z	200	added ('OK')	text/css	etag:%22868e60da2b9dd4a626d2a923237e35f3-gzip%22	https://www.epfundao.edu.pt/web/content/42084-82e8f96/web.assets_common.0.css	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/web/content/42084-82e8f96/web.assets_common.0.css	(from https://www.epfundao.edu.pt/)
17:50:39	212856/212856	---M-Z	200	added ('OK')	text/css	etag:%22cef36b46b3e602bcd376527ca64aa145-gzip%22	https://www.epfundao.edu.pt/web/content/146540-f61572a/website.assets_frontend.0.css	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/web/content/146540-f61572a/website.assets_frontend.0.css	(from https://www.epfundao.edu.pt/)
17:50:40	23739/23739	---MCZ	200	added ('OK')	text/css	etag:W/%2204425bbdc6243fc6e54bf8984fe50330%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	C:/Os%20meus%20Sites/epf/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	(from https://www.epfundao.edu.pt/)
17:50:40	1476/1476	---M-Z	200	added ('OK')	text/css	etag:%225eb03f3f-5c4%22	https://cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/owl.carousel.css	C:/Os%20meus%20Sites/epf/cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/owl.carousel.css	(from https://www.epfundao.edu.pt/)
17:50:41	52797/52797	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f3f-ce3d%22	https://cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/owl.carousel.js	C:/Os%20meus%20Sites/epf/cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/owl.carousel.js	(from https://www.epfundao.edu.pt/)
17:50:41	861452/861452	---MCZ	200	added ('OK')	application/javascript	etag:%22868e60da2b9dd4a626d2a923237e35f3-gzip%22	https://www.epfundao.edu.pt/web/content/42085-82e8f96/web.assets_common.js	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/web/content/42085-82e8f96/web.assets_common.js	(from https://www.epfundao.edu.pt/)
17:50:42	232311/232311	---MCZ	200	added ('OK')	application/javascript	etag:%22cef36b46b3e602bcd376527ca64aa145-gzip%22	https://www.epfundao.edu.pt/web/content/146541-f61572a/website.assets_frontend.js	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/web/content/146541-f61572a/website.assets_frontend.js	(from https://www.epfundao.edu.pt/)
